rho,final_k,p
0.000833359,10,10
0.003333427,10,10
0.002501883,10,10
0,10,10
0.003333502,10,10
0,10,10
0.00166669,10,10
0.001665298,10,10
0.001666791,10,10
0.001666687,10,10
0.001666501,10,10
0.000833246,10,10
0.003333495,10,10
0.004167025,10,10
0.000833349,10,10
0.000833341,10,10
0.001666699,10,10
0.000833346,10,10
0,10,10
0.001666709,10,10
0.001666728,10,10
0.004166721,10,10
0.001666693,10,10
0.003334277,10,10
0.001666699,10,10
0.003333354,10,10
0.00416671,10,10
0.001666684,10,10
0.003333333,10,10
0.000833349,10,10
0.000832961,10,10
0.001665292,10,10
0.002500027,10,10
0.000833346,10,10
0.000833343,10,10
0.000833367,10,10
0.00166685,10,10
0,10,10
0.000833416,10,10
0,10,10
0.003331439,10,10
0.001666872,10,10
0,10,10
0.000833344,10,10
0.002500099,10,10
0.002500091,10,10
0.000832668,10,10
0.001666684,10,10
0.000833344,10,10
0.002498075,10,10
0.002500071,10,10
0.001666558,10,10
0.002500036,10,10
0.003333395,10,10
0.004166971,10,10
0,10,10
0.000833341,10,10
0,10,10
0.003333399,10,10
0.000833349,10,10
0.002500063,10,10
0,10,10
0.000833438,10,10
0.001666715,10,10
0.00166668,10,10
0.002500033,10,10
0.000833351,10,10
0.000833343,10,10
0.000833413,10,10
0.000833336,10,10
0.00083337,10,10
0.003333545,10,10
0.000833383,10,10
0.000833367,10,10
0.002500101,10,10
0.002500029,10,10
0.004166736,10,10
0.00250005,10,10
0.004166857,10,10
0,10,10
0.003333377,10,10
0.000833472,10,10
0.000833393,10,10
0.002500033,10,10
0.001666685,10,10
0.003333203,10,10
0,10,10
0,10,10
0.001666684,10,10
0.000833342,10,10
0.003333365,10,10
0.001666489,10,10
0.001666687,10,10
0.001666689,10,10
0.001666138,10,10
0.000833351,10,10
0.002500067,10,10
0.001666708,10,10
0.00166669,10,10
0.002498106,10,10
