rho,final_k,p
0.005517161,1,3
0.005633784,5,3
0.003287812,10,3
0.010492723,7,3
0.005935618,1,3
0.003315767,10,3
0.006506351,1,3
0.004299101,1,3
0.00516941,5,3
0.022578194,1,3
0.007853429,1,3
0.00724714,6,3
0.005006667,11,3
0.008214918,1,3
0.006058955,1,3
0.004886485,11,3
0.005817459,4,3
0.037281566,1,3
0.005491463,1,3
0.016330484,1,3
0.006751109,3,3
0.005751484,3,3
0.004070479,10,3
0.032977715,1,3
0.04985133,1,3
0.006165291,1,3
0.007270777,5,3
0.006252629,1,3
0.013859194,1,3
0.020021653,1,3
0.00660343,1,3
0.00655177,9,3
0.003259608,10,3
0.001642453,10,3
0.009517394,1,3
0.003193842,10,3
0.006265679,3,3
0.005348509,1,3
0.006106005,1,3
0.004723069,5,3
0.007786012,4,3
0.004642326,3,3
0.004831065,7,3
0.005717362,1,3
0.006557041,1,3
0.023260456,1,3
0.025645102,1,3
0.005150313,12,3
0.023428867,1,3
0.013564937,1,3
0.004930361,7,3
0.005667912,12,3
0.008142364,4,3
0.006481512,5,3
0.007123625,1,3
0.005370067,4,3
0.009029165,5,3
0.005997965,6,3
0.00750133,7,3
0.002283151,10,3
0.003258178,10,3
0.009173358,4,3
0.010664709,1,3
0.006292318,1,3
0.006513135,5,3
0.003911236,5,3
0.005945019,3,3
0.004965641,10,3
0.006283096,1,3
0.005749036,4,3
0.005738,6,3
0.021360436,1,3
0.007314983,6,3
0.008026518,5,3
0.003287566,10,3
0.007079195,1,3
0.007687427,1,3
0.008179873,1,3
0.006529285,1,3
0.021246491,1,3
0.036688588,1,3
0.006278223,1,3
0.006545986,14,3
0.006249926,7,3
0.003855648,1,3
0.007952957,1,3
0.007067661,4,3
0.010465568,1,3
0.006120418,6,3
0.006406828,1,3
0.009539195,5,3
0.021128476,1,3
0.008119823,6,3
0.00608798,1,3
0.007093598,1,3
0.006111904,1,3
0.004904897,4,3
0.002431162,10,3
0.003354534,10,3
0.006675665,4,3
