rho,final_k,p
0.006764874,23,2
0.006742461,11,2
0.0063991,4,2
0.005760436,10,2
0.006225202,6,2
0.006537519,6,2
0.005918868,8,2
0.006338938,19,2
0.006554246,2,2
0.006225621,4,2
0.006357045,6,2
0.006797127,8,2
0.006665762,6,2
0.007238478,4,2
0.006377948,21,2
0.004936151,1,2
0.006294708,4,2
0.006389026,5,2
0.006345015,17,2
0.05462185,1,2
0.006752066,7,2
0.005285473,3,2
0.006911481,4,2
0.005190894,21,2
0.006517684,5,2
0.006254752,5,2
0.006921674,2,2
0.006574784,2,2
0.006409011,2,2
0.006313416,8,2
0.00646902,2,2
0.006160128,19,2
0.006656182,9,2
0.006279406,2,2
0.006572809,15,2
0.005998577,8,2
0.006114622,26,2
0.007041619,5,2
0.006758013,7,2
0.006216233,21,2
0.00630913,4,2
0.007268684,2,2
0.00887341,5,2
0.106559655,1,2
0.005945621,8,2
0.007504519,29,2
0.00606009,2,2
0.005029436,24,2
0.006297632,3,2
0.006711156,5,2
0.006092013,7,2
0.006441626,7,2
0.007936723,14,2
0.006722912,5,2
0.004420177,8,2
0.00647357,5,2
0.006734493,8,2
0.006073585,3,2
0.004512959,7,2
0.008019131,19,2
0.007675549,7,2
0.006556332,5,2
0.006630021,20,2
0.006291172,1,2
0.005992485,4,2
0.006578698,7,2
0.006028707,29,2
0.006919635,8,2
0.006323942,22,2
0.00634537,7,2
0.00625487,29,2
0.006014535,8,2
0.006228773,3,2
0.006189236,5,2
0.006810407,27,2
0.006198824,7,2
0.007192804,14,2
0.007021366,7,2
0.007943907,29,2
0.006548191,26,2
0.006473722,8,2
0.006362775,27,2
0.006698094,3,2
0.004542278,9,2
0.006418892,3,2
0.006606807,7,2
0.006458708,4,2
0.005671242,28,2
0.006277506,4,2
0.006235334,3,2
0.006437623,3,2
0.004458341,8,2
0.006984072,3,2
0.00557474,4,2
0.006374854,3,2
0.006592016,2,2
0.008475267,16,2
0.006857236,17,2
0.00537183,7,2
0.003038741,10,2
