rho,final_k,p
0.013782892,2,5
0.014499511,3,5
0.025278658,1,5
0.015798191,1,5
0.013410695,2,5
0.013524556,4,5
0.018914488,2,5
0.017923982,1,5
0.01539085,1,5
0.010211874,4,5
0.014061289,3,5
0.013512341,1,5
0.017616475,2,5
0.019984446,5,5
0.016716651,4,5
0.018030241,1,5
0.02070673,1,5
0.015966821,5,5
0.011725026,1,5
0.018630775,5,5
0.015325493,5,5
0.023642546,1,5
0.018355096,7,5
0.016122113,1,5
0.013630532,6,5
0.021611546,1,5
0.015523208,3,5
0.020586149,1,5
0.022196055,1,5
0.01820776,6,5
0.015316327,3,5
0.014627211,1,5
0.012061359,1,5
0.01719718,1,5
0.024681844,1,5
0.015892112,5,5
0.017092303,2,5
0.013459054,4,5
0.02394387,1,5
0.016483294,1,5
0.016297449,2,5
0.026398094,1,5
0.011520048,1,5
0.016727432,5,5
0.028274025,1,5
0.011600033,1,5
0.01321689,3,5
0.014064046,2,5
0.018234987,4,5
0.013846253,3,5
0.007582295,1,5
0.017284842,1,5
0.012825647,1,5
0.013982108,1,5
0.017933792,6,5
0.020055392,1,5
0.019356643,5,5
0.015338588,3,5
0.020891234,2,5
0.020514907,1,5
0.016904295,1,5
0.01491428,2,5
0.015957812,4,5
0.01998184,3,5
0.015800801,2,5
0.017706568,5,5
0.01942084,3,5
0.014724304,4,5
0.020935733,4,5
0.014665635,1,5
0.018379101,1,5
0.015901104,1,5
0.013964448,1,5
0.011942537,1,5
0.018134396,4,5
0.013564365,6,5
0.015601873,7,5
0.016039458,6,5
0.015927708,3,5
0.017329895,1,5
0.019203783,4,5
0.01771942,3,5
0.014155475,1,5
0.016047999,5,5
0.018535297,1,5
0.015971091,1,5
0.018381126,5,5
0.017166319,6,5
0.013313814,5,5
0.012650105,4,5
0.01270654,5,5
0.012855608,3,5
0.018964227,4,5
0.015493315,1,5
0.017030985,1,5
0.013460239,5,5
0.014731982,9,5
0.015956469,1,5
0.018219515,8,5
0.021237778,1,5
