rho,final_k,p
0.001666667,10,42
0.001666667,10,42
0.000833333,10,42
0.000833333,10,42
0.001666667,10,42
0.001666667,10,42
0.001666667,10,42
0.003333333,10,42
0.001666667,10,42
0.001666667,10,42
0.001666667,10,42
0,10,42
0.001666667,10,42
0.001666667,10,42
0.003333333,10,42
0.000833333,10,42
0.003333333,10,42
0.000833333,10,42
0.0025,10,42
0,10,42
0.001666667,10,42
0.000833333,10,42
0.001666667,10,42
0,10,42
0.001666667,10,42
0.000833333,10,42
0,10,42
0.0025,10,42
0.000833333,10,42
0.0025,10,42
0.001666667,10,42
0.001666667,10,42
0.001666667,10,42
0.0025,10,42
0.000833333,10,42
0.0025,10,42
0,10,42
0.001666667,10,42
0.000833333,10,42
1.5054369625895188707e-612,10,42
0.000833333,10,42
0.000833333,10,42
0.001666667,10,42
0.000833333,10,42
0.001666667,10,42
0.001666667,10,42
0.003333333,10,42
0,10,42
0.001666667,10,42
2.1366149011446983954e-413,10,42
0.0025,10,42
0.0025,10,42
0.000833333,10,42
0.0025,10,42
0,10,42
0.0025,10,42
0.001666667,10,42
0.0025,10,42
0,10,42
0.001666667,10,42
0.000833333,10,42
0.001666667,10,42
0.003333333,10,42
0.0025,10,42
0.003333333,10,42
0.000833333,10,42
0.001666667,10,42
0.0025,10,42
0,10,42
0.0025,10,42
0.001666667,10,42
0.003333333,10,42
0.000833333,10,42
0.001666667,10,42
0.003333333,10,42
0.000833333,10,42
0,10,42
0.000833333,10,42
0.004166667,10,42
0,10,42
0,10,42
0.004166667,10,42
0.001666667,10,42
0.000833333,10,42
0.001666667,10,42
0.000833333,10,42
0.000833333,10,42
0.000833333,10,42
0.0025,10,42
0.001666667,10,42
0,10,42
0.000833333,10,42
0.001666667,10,42
0.0025,10,42
7.856972416641487954e-537,10,42
0.000833333,10,42
0.000833333,10,42
0.003333333,10,42
0,10,42
0.000833333,10,42
