rho,final_k,had_error,covardiag
0.03088354281921490028,3,False,0.038639591683012721817
0.027690582427114870111,9,False,0.005012038398313764866
0.02942567998581110206,25,False,0.017421429278114691399
0.031520492633354008455,9,False,0.022166249805917127735
0.045716202232413309975,1,True,0.00041929286637309146422
0.027441523985322246509,1,False,0.0072868838454509034327
0.030094143270834680555,26,False,0.036921891525097530687
0.031298953476554363683,11,False,0.0010163283437935456023
0.030226342053695066034,9,False,0.013484779779025790113
0.029926051187497340585,4,False,0.024157056940561650125
0.030761157166692758902,24,False,0.04393753331877298994
0.030180651478895285618,8,False,0.013007487441167839579
0.033253538066862666747,22,False,0.026753295690758256707
0.032581092343573964483,13,False,0.011112124116600299291
0.03106604350172049776,9,False,0.05150162754992738675
0.032875689492494241596,24,False,0.04552771417561034519
0.034802911635476954902,25,False,0.0040194273543793225427
0.031493932773114497983,1,False,0.0507219449299539653
0.03352003130146272161,7,False,0.041141408402976483063
0.028099814163412538625,8,False,0.0066019678710347504677
0.031453283436388804238,2,False,0.040125484823840344027
0.030676915672299665494,2,False,0.015964251332684212206
0.034362845144696357563,5,False,0.007691085254651255874
0.026757976256518933916,18,False,0.0037491275351806833757
0.032843939957324910602,13,False,0.0068559878815454245297
0.03134303673491796126,12,False,0.020464759810987976347
0.048884210442215598262,1,True,0.0
0.029218891174478774416,9,False,0.0013019065032040561121
0.031268229038413426368,3,False,0.044076229695071834713
0.030549171018581129437,6,False,0.017287571646147206275
0.03043661805589397897,6,False,0.037925834058649894386
0.03057034124794407179,12,False,0.009345501062380279383
0.03200133291597632226,7,False,0.0288351180489488701
0.029639064978312110345,20,False,0.021107913165715620595
0.030206283352303416925,18,False,0.014838332119383089971
0.021407924757053602324,5,False,0.030601611133490870745
0.031327356984520820757,12,False,0.038115996572332573326
0.030700220343265306552,6,False,0.028810064270327952138
0.029320090575203353197,8,False,0.015864249901014925716
0.030416761087150457365,7,False,0.01669712097711017089
0.031355474275221783945,10,False,0.017756167739392357852
0.037722932955108187646,1,True,0.0
0.03303796245442772716,5,False,0.02960809927642292496
0.0293779120613146947,30,False,0.0034582735609227195064
0.030085521362865021594,6,False,0.033518250125535535627
0.04618853283016863584,1,True,7.7510706049329238503e-50
0.033575733414102151062,3,False,0.008335096801148038055
0.028088624854175788747,12,False,0.041162979723838506907
0.023113995974517837784,1,False,0.0055864895774814913112
0.02980009614215916774,6,False,0.034568831229453711974
0.030248430144273679511,6,False,0.0014411912768724017463
0.029953913314044468441,3,False,0.029024832123156748718
0.030581107466147565263,11,False,0.015876372773389679797
0.033366534996321168,6,False,0.0012322117556940767686
0.03133687242847513386,30,False,0.019943996862689312973
0.02800316517567570265,27,False,0.0015773154724814880164
0.031558777642820533255,8,False,0.037532962404213390456
0.034004737663167459575,26,False,0.04199422105790543192
0.03152641941576905669,4,False,0.0030610487175198215745
0.031933042828864843853,8,False,0.046180307600490348017
0.02995054093849614679,6,False,0.014605613318631579959
0.030759672928598801678,16,False,0.035656668710447982994
0.031022427927147086832,6,False,0.04919233806724212943
0.029515696662406810751,14,False,0.020434468175073080934
0.043530645370530009672,1,True,1.8057428702076636639e-375
0.029922299283000867648,7,False,0.0007092471560944310328
0.03101190316391677839,4,False,0.04019281016240892357
0.029547009407344406918,3,False,0.03508809227220705156
0.032394639664152413278,6,False,0.04045610800341048353
0.031232949451320407992,3,False,0.023683031305452771017
0.029065396254984991701,8,False,7.703208361509638098e-07
0.066602332139226880246,1,True,0.0010836243379334193518
0.030872908977234651664,9,False,0.026599913101931733898
0.02878852189401147182,9,False,0.00084641299843815187703
0.030157703188273306745,3,False,0.02132689120039408349
0.026194407782463579788,12,False,0.0010011121751427863584
0.030703899956531532563,21,False,0.04788521797803834181
0.03149501413060388733,4,False,0.019706115508678186106
0.032232151662356568006,2,False,0.04738738214143174315
0.030382082919642190191,3,False,0.022186329505667650181
0.030141890118849660642,4,False,0.041096356971761398685
0.030569536760425489813,7,False,0.030170600797041137388
0.03128347068093780511,16,False,0.019410878141190971074
0.032889171251220189708,30,False,0.044353484556897572507
0.030653341099868369871,16,False,0.027804383126329890638
0.031005671983704237034,7,False,0.020624595401986114606
0.028362913209639960088,11,False,0.013952767844630980052
0.029744526259006147415,3,False,0.010296232154988735666
0.029878112286190091426,8,False,0.0085194906365834233
0.030815842899576748947,3,False,0.040244545824315473312
0.031332481551436568725,6,False,0.04053868914806357394
0.030826889817992960674,7,False,0.0014943195557444645257
0.02893238438064790811,23,False,0.019887562640895000793
0.0320418877904480248,15,False,0.0338141897142234513
0.030923614622633878732,2,False,0.020080193058776065257
0.031958938948327355067,5,False,0.017672187340128224754
0.030815698871088802774,4,False,0.028494420831700779439
0.031309586553500039078,9,False,0.023878695338772255947
0.029961950468300870744,28,False,0.03466070015247639929
0.055215646562662978064,1,True,0.0
